Time,Bit 0,Bit 1,Bit 2,Bit 3,Bit 4,Bit 5,Bit 6,Bit 7
1100,0.0016848632741063452,0.0004219440506121873,0.0013444029514520985,8.957843652033983e-05,0.00010021636228100484,0.00012813669248023133,0.0003846483761717254,9.100869087118605e-05
1101,0.001647613168247804,0.0009037558935190319,0.0005994295889263378,0.0005015202160731146,0.0004690777449710029,9.873740867730501e-05,0.00016097593546536917,0.0002145903242719407
1102,0.0012571459841922191,0.0009515586584976168,0.000575885035154642,0.0012735265709446237,0.0007072621580360352,0.00015964299827216907,0.00021094619524214195,0.00025079816235110385
1103,0.0009603743576261933,0.0010964269465034682,0.000837912579004216,0.0014816283489079202,0.0008517868435180887,0.0001879196522928736,2.2361181497880583e-05,0.00032852203235299006
1104,0.0007914482339411073,0.0005506083668924361,0.0005995363395485213,0.0010689142534947766,0.0015931117274051582,0.0008509499720415777,0.0005299922832202774,0.00016513152259517016
1105,0.027431060353335444,0.00023228553314878173,0.00040347271595202677,4.992983076042169e-06,1.2187527108666221e-05,0.00021359272960574328,6.210087319021946e-05,3.674955781207046e-05
1106,0.027176775054582505,0.0004937001707225079,0.0002985519741358877,0.0003306869473864159,7.692392163263933e-07,0.0006948973427554281,0.00022810156370612218,6.344872699103059e-06
1107,0.0184234122842503,0.0006814505679668256,0.0010659607493154445,0.0002623535563859266,0.0002442480582508358,0.00033589932785046186,0.00027921702150677396,0.0002333875424665234
1108,0.011949969865558484,9.030755335244458e-06,0.0002502320345551073,0.0001642125535790354,0.00042325728212413744,0.0010167797139349775,0.0002569599788978037,0.0006194510691873836
1109,0.0014385980374088377,4.293205068881045e-05,8.123615510369317e-05,0.0005677593916748423,0.00047908852449836837,0.0005559184158508158,0.001014332286902624,0.001437390583077019
1110,0.0010618090183905338,5.7151486067240584e-05,2.6341046032381575e-05,0.00046291817989939,0.00037760793787222554,0.0001940511860930864,0.0012087856921030192,0.0009995100016930189
1111,0.00103688919516996,0.00010949511108977424,0.0002130428732194205,0.00040079633101356256,0.0003986589131159256,0.00030064086382370676,0.0013894188680382655,0.0007178531748185819
1112,0.0005424796896298928,0.00013837345060712067,4.100563942276439e-05,0.0007054606042211752,0.00011788017574608353,8.696023042162779e-05,0.0007473177416621999,0.0003321320079413592
1113,0.0002190979769057411,0.00027969839204453143,3.611890482911203e-05,0.003921143151019838,0.008183253781510892,2.8355772020760087e-05,1.6729697623319168e-05,0.0012257663511821197
1114,0.0005946552132136474,0.0010625519403242968,5.976747873371311e-05,0.004888566003005431,0.008331968617712049,5.7727909455484816e-05,0.00013354014480211775,0.0010718922269863202
1115,0.000507702023197259,0.0006268247357397358,0.000136394027223194,0.003817468120076522,0.0056190919161470156,9.418847607589984e-05,0.00021065615807296854,0.0010998334631206138
1116,0.0006080300848749509,0.0010695668081768073,0.00018229752237104558,0.004135598190933512,0.005013888841897129,0.00031585626203180976,1.4441175958796807e-05,0.000761576453195223
1117,0.00010737855587674505,0.00016166925414682433,4.800440934430978e-05,0.000609081384348341,0.03488744530500858,0.000120013351365491,0.0001356662769444096,0.0011445771951854738
1118,0.0002122664804300289,0.0005218457802642735,6.62336829450431e-06,0.00047075737365379105,0.03823144304582616,0.0001295568383121822,6.342600828054376e-05,0.0009454895843614827
1119,3.977692910709787e-05,0.00022123246434003365,4.061322925954766e-06,0.0007315422412974071,0.027353127033388706,0.000740201310384281,0.000295614966866938,0.0008830565269641622
1120,0.00015724684859513182,0.0005227147721396637,6.116761175909391e-05,0.0002627627965852154,0.020461718233975586,0.0010597965271960598,7.346091767629856e-05,0.0011504206536548777
1121,4.066374961581597e-05,2.2876533576311687e-05,5.9204023151116614e-05,4.7763337079979065e-05,0.010728288426681417,0.0015615639974367612,0.0006095485577854189,0.0013530644385351105
1122,0.00017801065443444016,0.00034694200709565044,7.701918310207462e-05,0.00014546089200191892,0.0052017759022234145,0.0015963320744135775,0.0005311081027838131,0.0009003312664121669
1123,9.745378225604318e-05,5.062528782405278e-05,0.00010010336702188993,0.00011817466457933888,0.0015196639378361534,0.0040115784085733895,0.00018408342759566418,0.001507247563194217
1124,0.00013809705186208773,0.0005433945156887638,0.00016106841386643426,0.00020485019304442918,0.0006519353347479403,0.0017244333524799795,0.0006891049124210114,0.0006067648894957585
1125,5.629014730785875e-05,1.5428298911919724e-05,0.0025082925104163356,7.907515408754344e-05,0.00018881211548388386,0.002431773328932689,0.0002745009171597419,0.0006310800535560276
1126,0.0002932184867919344,6.066141524036603e-05,0.002111626722089114,0.00032389414950200943,0.000215821502823801,0.0017535706369310794,0.001945050496483756,0.0010333453227775442
1127,0.00026831137736055705,2.5887072353378485e-05,0.0019008128031747012,1.7380003084197607e-05,0.00033653122151696785,0.003194980956902973,0.0005278000492854566,0.001024281611136005
1128,0.0002383988786628647,3.025506186281389e-05,0.0005158886801908427,0.00033060001834151696,0.0010322224061155576,0.0014325445520007626,0.0011994287249526296,0.0011350641131639785
1129,0.00035962751588500307,0.0003190794602639283,8.2702289062956e-05,0.0004214264284887932,0.0004989188328524266,0.0010785314755528753,0.0002946847273064239,0.00046599948714769743
1130,0.00034998804840782763,0.0002062926398008427,2.528871225566955e-05,1.4555493838826891e-05,0.0008621802479105074,0.0018202476741214922,0.0010741611536133578,0.0010590046407864123
1131,0.00014546144852222516,0.00019076885130010779,0.00017379296292931339,0.0003120278357763882,0.001244531669111555,0.0019048122239415496,0.0003927059401267836,0.0008019485154397808
1132,0.0002862432955813668,1.2712215554426165e-05,0.00021448408535300448,0.0003537730211968184,0.0020729231377639833,0.0022344903001073686,0.00023538242692120983,0.00041947169195978183
1133,9.954913484603228e-05,0.00023114996395085123,0.00031776107338534956,0.0004942503958690141,0.001585063902315859,0.0011187239226021772,0.0005888670343175286,0.0010003071795598654
1134,0.000522105037277615,7.116424440118638e-05,0.00010073121206934549,0.0001637221236944531,0.0018366355543826362,0.0031823951431779783,0.0006488448987279273,0.0012398436612098321
1135,0.000228720659871078,0.00016793179818239742,0.0006288137832920421,1.788896433852164e-05,0.002237159582670743,0.0035060797043939642,0.0013272234815914852,0.0009832865866316568
1136,0.000228158720770922,0.0005542788405235476,2.3480817938399756e-05,0.0003409805219433784,0.0014615427402437577,0.003415392425403363,9.035067220737969e-05,0.0006420755384333951
1137,0.0003309204643917778,0.0004585266783538668,0.001141157605288754,0.00016974580446918342,0.0013053508529694547,0.0012510470831797978,0.0005899616834138316,0.0012773084018150357
1138,0.0001340475766812482,0.00010608379677550822,0.0006756717384646143,3.256984389375583e-05,0.001928264922022964,0.00346766032717926,0.00012306291447487826,0.001268731313836224
1139,0.0001806114860015783,9.719166370450623e-05,0.0011998775384646787,0.00024244860073455822,0.0016580542875164654,0.0023959292176033084,0.0009690576461287971,0.0006360931048370541
1140,0.000447436751264244,0.0002245355485440102,0.0004174357014348919,0.0006017270986823045,0.0006951578150657468,0.0019819843867625022,6.60248108399025e-05,0.00062155615746933
